ClienteID,Edad,Genero,Ciudad,UsoVehiculo,MarcaAuto,ModeloAuto,ValorAsegurado,AntiguedadVehiculo
1,56,M,Bucaramanga,Particular,Mazda,2023,82708183,2
2,69,M,Manizales,Particular,Mazda,2017,41088077,14
3,46,M,Bucaramanga,Comercial,Kia,2020,149994889,16
4,32,F,Medellin,Particular,Nissan,2011,35246838,10
5,60,M,Barranquilla,Particular,Mazda,2009,129906300,15
6,25,M,Barranquilla,Particular,Kia,2023,122011782,18
7,38,F,Bogota,Particular,Ford,2006,147401612,14
8,56,M,Cali,Comercial,Ford,2007,82584610,6
9,36,F,Medellin,Comercial,Hyundai,2007,83331004,8
10,40,M,Medellin,Particular,Hyundai,2006,37298270,10
11,28,M,Bucaramanga,Particular,Chevrolet,2020,104249637,19
12,28,M,Manizales,Particular,Kia,2021,79683561,14
13,41,M,Bucaramanga,Particular,Renault,2020,49403812,0
14,53,M,Manizales,Particular,Kia,2020,148990196,7
15,57,F,Medellin,Particular,Hyundai,2023,53326556,18
16,41,M,Cali,Particular,Toyota,2021,122482501,8
17,20,M,Barranquilla,Particular,Hyundai,2009,62940935,19
18,39,M,Bogota,Particular,Mazda,2016,52262360,13
19,19,M,Manizales,Particular,Chevrolet,2016,43897156,10
20,41,M,Barranquilla,Particular,Renault,2011,109638217,6
21,61,M,Bogota,Particular,Nissan,2011,88124950,5
22,47,M,Cali,Particular,Chevrolet,2008,97658496,0
23,55,F,Medellin,Particular,Kia,2010,115670028,15
24,19,F,Cali,Particular,Toyota,2020,54749540,3
25,38,M,Manizales,Particular,Ford,2012,142644377,16
26,50,F,Medellin,Particular,Kia,2010,41910098,12
27,29,M,Bucaramanga,Comercial,Hyundai,2023,50145625,3
28,39,F,Bogota,Particular,Mazda,2014,87884475,12
29,61,M,Bucaramanga,Particular,Renault,2020,35319919,16
30,42,M,Medellin,Particular,Nissan,2006,126972209,14
31,66,F,Bogota,Particular,Toyota,2018,45509554,16
32,44,M,Bogota,Particular,Mazda,2015,125926633,10
33,59,F,Bucaramanga,Particular,Renault,2006,69679224,19
34,45,M,Bogota,Comercial,Toyota,2007,39494968,9
35,33,M,Medellin,Comercial,Chevrolet,2015,105521857,18
36,32,M,Manizales,Comercial,Nissan,2008,51547838,1
37,64,M,Manizales,Comercial,Hyundai,2018,61393106,11
38,68,F,Medellin,Particular,Mazda,2009,50622027,1
39,61,M,Bucaramanga,Particular,Kia,2007,54531563,2
40,69,F,Cali,Particular,Nissan,2012,93693218,4
41,20,F,Medellin,Particular,Hyundai,2014,38724063,12
42,54,M,Manizales,Particular,Renault,2016,99962036,1
43,68,M,Medellin,Comercial,Nissan,2012,78269260,13
44,24,F,Bogota,Particular,Toyota,2011,24313059,17
