fecha_siniestro,fecha_pago,estado_siniestro,valor_pagado,reserva,edad,genero,uso_vehiculo,valor_asegurado,antiguedad_vehiculo,ciudad,marca,modelo
2020-05-10,2020-07-10,Cerrado,2601850,0,35,M,Particular,51206178,18,Barranquilla,Toyota,2008
2021-07-18,2021-11-18,Cerrado,1387594,0,61,F,Particular,111529737,11,Bogota,Renault,2008
2021-02-04,2021-06-04,Cerrado,1535811,0,60,M,Comercial,65543412,7,Bogota,Mazda,2007
2020-12-31,2022-04-30,Cerrado,2436796,0,54,F,Particular,114941522,11,Cali,Toyota,2021
2022-06-27,2022-07-27,Cerrado,918483,0,29,M,Particular,38570648,1,Cartagena,Chevrolet,2013
2023-12-10,2024-08-10,Cerrado,2309828,0,56,M,Particular,92929117,8,Cali,Chevrolet,2022
2019-04-12,2022-02-12,Cerrado,33557654,0,74,F,Particular,100366437,7,Bogota,Mazda,2020
2021-05-23,2021-05-23,Cerrado,2383437,0,68,F,Comercial,113045099,17,Cartagena,Mazda,2014
2018-11-27,2021-07-27,Cerrado,1031500,0,25,F,Particular,76399200,12,Cartagena,Toyota,2010
2022-01-22,2022-01-22,Cerrado,2205607,0,68,M,Particular,100169940,1,Cartagena,Mazda,2022
2023-11-06,,Abierto,0,1850824,45,M,Particular,33729746,12,Bogota,Renault,2021
2018-05-11,2020-12-11,Cerrado,1521932,0,57,F,Particular,91015713,13,Barranquilla,Mazda,2010
2022-08-13,,Abierto,0,1374342,20,F,Particular,51754617,3,Cartagena,Nissan,2016
2020-02-09,2020-07-09,Cerrado,890175,0,40,M,Particular,74738082,18,Cartagena,Renault,2008
2024-07-19,,Abierto,0,2745994,36,M,Comercial,93852753,15,Cali,Toyota,2014
2022-02-24,2022-03-24,Cerrado,756158,0,55,M,Particular,56699992,19,Cartagena,Mazda,2003
2024-08-30,,Abierto,0,1775679,60,F,Particular,39920074,11,Bogota,Nissan,2001
2021-04-30,2021-07-30,Cerrado,975920,0,33,F,Particular,26385773,16,Cartagena,Mazda,2004
2020-08-13,2020-12-13,Cerrado,2558953,0,30,F,Comercial,44563429,3,Cartagena,Toyota,2021
2024-05-13,,Abierto,0,2240960,43,M,Particular,50185182,11,Cali,Toyota,2012
2021-03-30,2021-04-30,Cerrado,1470983,0,44,F,Particular,64144805,12,Cartagena,Chevrolet,2017
2019-04-05,2022-04-05,Cerrado,2733518,0,66,F,Particular,59726170,3,Barranquilla,Renault,2017
2018-01-22,2018-08-22,Cerrado,1184516,0,37,F,Particular,42840611,1,Cali,Chevrolet,2011
2024-04-19,,Abierto,0,38889098,26,F,Comercial,107922568,1,Cali,Mazda,2013
2020-01-18,2021-03-18,Cerrado,33166872,0,36,M,Comercial,101718455,5,Bogota,Toyota,2021
2019-04-20,2020-01-20,Cerrado,1826919,0,64,F,Particular,118099877,8,Cartagena,Renault,2002
2020-12-18,2020-12-18,Cerrado,759322,0,44,F,Particular,85065071,13,Medellin,Toyota,2014
2023-08-10,2024-02-10,Cerrado,2324299,0,36,M,Particular,70174947,1,Cartagena,Mazda,2009
2020-09-02,2021-01-02,Cerrado,2237686,0,29,M,Particular,82908346,4,Medellin,Nissan,2012
2022-12-12,2023-01-12,Cerrado,2653678,0,37,F,Comercial,88362591,2,Medellin,Renault,2018
2018-07-09,2018-11-09,Cerrado,2249504,0,60,F,Particular,105956994,3,Cartagena,Nissan,2005
2019-07-17,2020-03-17,Cerrado,1344613,0,47,F,Comercial,34724757,9,Cartagena,Renault,2019
2023-03-15,2023-05-15,Cerrado,2204455,0,64,F,Particular,88559252,7,Cartagena,Mazda,2021
2021-06-21,2021-11-21,Cerrado,1357546,0,47,F,Particular,80014664,10,Barranquilla,Nissan,2009
2022-03-09,2022-08-09,Cerrado,2829957,0,70,F,Particular,84646912,13,Cartagena,Renault,2014
2019-10-09,2019-10-09,Cerrado,1346061,0,25,F,Particular,27040832,6,Bogota,Renault,2005
2023-08-31,2024-03-31,Cerrado,1800008,0,26,M,Comercial,54870359,11,Cartagena,Chevrolet,2012
2024-01-24,2024-08-24,Cerrado,2298609,0,23,M,Particular,52819566,6,Cali,Renault,2000
2021-07-21,2024-03-21,Cerrado,1741855,0,71,M,Particular,96618089,18,Medellin,Chevrolet,2021
2024-09-01,2024-12-01,Cerrado,1827597,0,29,F,Particular,54609791,10,Cartagena,Mazda,2000
2019-08-24,2020-01-24,Cerrado,2195416,0,20,F,Particular,103268597,6,Cartagena,Mazda,2000
2024-06-21,2024-11-21,Cerrado,2331004,0,28,M,Particular,61377463,14,Medellin,Mazda,2022
2023-08-24,,Abierto,0,695990,68,F,Particular,39505761,8,Medellin,Mazda,2023
2018-08-30,2019-01-30,Cerrado,2464240,0,24,M,Particular,117888658,6,Medellin,Nissan,2023
2023-08-04,2024-01-04,Cerrado,2140778,0,58,M,Particular,61561042,7,Cali,Renault,2019
2021-09-25,2021-12-25,Cerrado,1892915,0,68,F,Particular,84514590,19,Barranquilla,Renault,2015
2023-11-10,2023-11-10,Cerrado,1331347,0,57,M,Particular,117252672,14,Cartagena,Chevrolet,2015
2021-10-22,2021-11-22,Cerrado,1834276,0,73,M,Comercial,44662608,15,Medellin,Nissan,2001
2022-01-18,2022-09-18,Cerrado,2524596,0,31,M,Particular,102974471,15,Barranquilla,Nissan,2017
2020-02-15,2020-10-15,Cerrado,2931269,0,68,M,Particular,26505041,6,Cartagena,Renault,2007
2018-02-04,2018-06-04,Cerrado,797848,0,50,F,Particular,76039343,17,Medellin,Mazda,2001
2024-03-03,2024-08-03,Cerrado,2588908,0,42,M,Particular,52752696,19,Cartagena,Chevrolet,2003
2023-05-10,2023-08-10,Cerrado,2810485,0,43,F,Comercial,95292249,3,Bogota,Nissan,2020
2022-05-05,2023-02-05,Cerrado,2183739,0,51,F,Particular,78568592,3,Cali,Mazda,2013
2020-10-18,2022-01-18,Cerrado,2845311,0,55,M,Particular,118247065,1,Bogota,Renault,2021
2021-02-03,2023-01-03,Cerrado,1149495,0,73,F,Particular,73213364,1,Cali,Nissan,2003
2022-02-09,2022-04-09,Cerrado,2039859,0,74,F,Particular,96314181,9,Bogota,Renault,2015
2019-12-04,2020-08-04,Cerrado,1621331,0,34,F,Particular,59238616,6,Bogota,Mazda,2015
2024-09-15,,Abierto,0,31632463,24,M,Particular,46564651,14,Cartagena,Chevrolet,2009
2022-04-29,2022-12-29,Cerrado,1373382,0,33,M,Particular,83189973,5,Cartagena,Renault,2011
2018-06-11,2018-10-11,Cerrado,1886526,0,25,M,Particular,116540612,19,Cartagena,Mazda,2020
2018-07-21,2019-02-21,Cerrado,1883233,0,31,F,Particular,111672985,1,Medellin,Nissan,2004
2023-06-05,2024-02-05,Cerrado,2142533,0,50,F,Particular,119287312,15,Cali,Toyota,2014
2020-09-22,2021-01-22,Cerrado,1753503,0,60,F,Comercial,114846601,16,Medellin,Toyota,2004
2024-05-06,2024-06-06,Cerrado,790435,0,72,M,Particular,115526731,9,Bogota,Toyota,2006
2020-03-26,2020-10-26,Cerrado,897642,0,21,M,Particular,53389735,11,Barranquilla,Toyota,2022
2019-04-01,2020-02-01,Cerrado,1916640,0,35,F,Particular,33035981,11,Cali,Nissan,2007
2021-06-29,2024-06-29,Cerrado,1986344,0,57,F,Particular,118873272,1,Medellin,Mazda,2018
2020-10-13,2020-12-13,Cerrado,2880636,0,60,M,Particular,29631937,9,Barranquilla,Toyota,2006
2024-06-01,,Abierto,0,1485905,40,F,Particular,100620572,1,Bogota,Renault,2010
2018-12-04,2018-12-04,Cerrado,1052749,0,25,F,Particular,116271319,10,Cartagena,Toyota,2021
2020-05-28,2023-01-28,Cerrado,2086753,0,55,F,Particular,81493314,1,Bogota,Toyota,2005
2020-12-12,2020-12-12,Cerrado,2862174,0,29,F,Particular,73271031,15,Medellin,Mazda,2000
2020-03-02,2020-07-02,Cerrado,31196160,0,56,F,Particular,22207300,0,Bogota,Nissan,2018
2024-03-14,2024-03-14,Cerrado,32973201,0,21,M,Particular,21206899,0,Barranquilla,Nissan,2017
2020-02-03,2020-09-03,Cerrado,933140,0,56,M,Particular,94796215,16,Medellin,Mazda,2016
2024-02-14,2024-06-14,Cerrado,1163933,0,49,M,Comercial,74650566,0,Bogota,Renault,2023
2019-01-15,2019-10-15,Cerrado,1757292,0,51,M,Particular,37779012,18,Medellin,Mazda,2013
2019-05-08,2019-11-08,Cerrado,2190252,0,28,F,Particular,95377266,16,Barranquilla,Renault,2023
2021-03-26,2021-08-26,Cerrado,36040631,0,37,F,Particular,51248397,3,Cartagena,Chevrolet,2014
2023-08-25,2023-12-25,Cerrado,777091,0,53,M,Particular,105810079,1,Barranquilla,Toyota,2017
2018-03-06,2018-04-06,Cerrado,2305565,0,36,F,Particular,59134383,17,Cartagena,Renault,2015
2021-09-29,2021-11-29,Cerrado,1594265,0,19,M,Particular,33544961,1,Barranquilla,Mazda,2015
2021-02-26,2021-09-26,Cerrado,2621114,0,69,M,Comercial,90947113,12,Bogota,Chevrolet,2009
2023-07-21,2024-01-21,Cerrado,1998232,0,45,M,Particular,44465545,0,Cali,Mazda,2020
2022-02-04,2022-02-04,Cerrado,1574438,0,67,M,Comercial,99706830,17,Cartagena,Chevrolet,2022
2021-03-08,2021-09-08,Cerrado,1296666,0,36,M,Particular,77518448,12,Barranquilla,Nissan,2016
2022-03-03,2022-03-03,Cerrado,37659979,0,29,F,Comercial,53310149,13,Cartagena,Mazda,2015
2019-01-27,2019-07-27,Cerrado,1354113,0,63,M,Particular,56869015,3,Cali,Mazda,2010
2022-08-26,,Abierto,0,1168193,26,F,Particular,42384816,12,Cartagena,Mazda,2018
2019-02-23,2019-05-23,Cerrado,2093985,0,61,M,Particular,88253448,1,Cartagena,Nissan,2001
2024-05-25,,Abierto,0,1995967,18,M,Particular,91429323,1,Barranquilla,Chevrolet,2018
2019-01-14,2019-10-14,Cerrado,1482356,0,39,M,Particular,78291302,4,Barranquilla,Nissan,2005
2022-12-02,2023-05-02,Cerrado,1476120,0,30,M,Particular,34882520,11,Medellin,Nissan,2020
2024-03-28,2024-10-28,Cerrado,2301942,0,72,M,Particular,97125712,1,Cartagena,Chevrolet,2012
2023-09-20,2024-02-20,Cerrado,2003052,0,24,F,Particular,70113383,9,Bogota,Renault,2000
2023-12-23,2024-03-23,Cerrado,2679898,0,32,F,Particular,33709265,9,Medellin,Nissan,2001
2018-07-20,2019-04-20,Cerrado,2753177,0,47,F,Particular,57659008,8,Barranquilla,Renault,2012
2023-02-07,2023-10-07,Cerrado,1808958,0,42,F,Particular,107780828,5,Cali,Toyota,2005
2020-02-19,2022-01-19,Cerrado,1504878,0,37,F,Particular,104239068,13,Medellin,Mazda,2011
2019-05-18,2019-12-18,Cerrado,2327545,0,56,F,Particular,43145240,17,Medellin,Mazda,2008
2024-09-20,,Abierto,0,756812,73,F,Particular,40526131,14,Cali,Chevrolet,2011
2022-10-18,2023-06-18,Cerrado,1611570,0,73,M,Particular,73387159,19,Cartagena,Nissan,2000
2020-03-15,2020-10-15,Cerrado,2144620,0,20,M,Particular,38375141,6,Cartagena,Nissan,2014
2023-11-17,2024-06-17,Cerrado,1930871,0,39,F,Particular,59541372,9,Medellin,Nissan,2004
2023-03-11,2024-07-11,Cerrado,32135600,0,46,F,Particular,102395576,17,Medellin,Toyota,2014
2022-04-20,2024-04-20,Cerrado,2457751,0,61,M,Particular,46579049,12,Barranquilla,Nissan,2018
2020-08-18,2020-10-18,Cerrado,1604668,0,69,F,Comercial,38190147,13,Barranquilla,Renault,2018
2022-01-25,2022-04-25,Cerrado,2893046,0,63,M,Particular,41851690,1,Medellin,Mazda,2001
2020-10-25,2021-06-25,Cerrado,2718142,0,53,F,Particular,52738184,5,Medellin,Nissan,2019
2019-05-18,2019-11-18,Cerrado,2410272,0,54,F,Particular,65124785,13,Cali,Toyota,2006
2019-02-02,2019-10-02,Cerrado,688996,0,33,M,Particular,74459672,7,Cali,Renault,2002
2020-05-20,2020-10-20,Cerrado,1414978,0,50,M,Comercial,40750581,18,Cali,Toyota,2015
2019-01-28,2019-06-28,Cerrado,1409401,0,31,F,Particular,101456652,13,Medellin,Mazda,2018
2018-07-26,2018-08-26,Cerrado,2525397,0,60,F,Particular,64001406,19,Bogota,Toyota,2010
2020-11-04,2021-06-04,Cerrado,1045652,0,22,M,Comercial,64047770,11,Cartagena,Toyota,2021
2023-02-25,2023-04-25,Cerrado,2980260,0,28,M,Particular,81191769,18,Cartagena,Renault,2021
2022-01-24,2022-09-24,Cerrado,1882327,0,24,F,Particular,21463872,7,Cartagena,Toyota,2016
2020-05-13,2023-01-13,Cerrado,836749,0,66,F,Particular,37055813,6,Medellin,Mazda,2023
2019-07-18,2019-10-18,Cerrado,1780560,0,71,F,Particular,106192416,5,Bogota,Mazda,2002
2020-10-17,2020-11-17,Cerrado,1693305,0,71,F,Particular,48514616,14,Cali,Mazda,2018
2018-04-06,2018-04-06,Cerrado,1426772,0,34,F,Comercial,25820802,13,Cartagena,Chevrolet,2005
2023-04-08,2023-08-08,Cerrado,1641771,0,28,M,Particular,49947585,8,Medellin,Renault,2022
2022-10-24,2022-12-24,Cerrado,1359595,0,53,M,Particular,57996614,19,Cartagena,Mazda,2016
2024-12-07,,Abierto,0,1225738,59,M,Particular,23022178,16,Cali,Chevrolet,2002
2024-03-28,2024-09-28,Cerrado,36260143,0,71,M,Particular,21113735,18,Cartagena,Nissan,2011
2022-08-06,2022-12-06,Cerrado,2083099,0,73,M,Particular,32535967,17,Bogota,Chevrolet,2013
2019-06-25,2020-03-25,Cerrado,2397749,0,73,F,Comercial,83453325,17,Cali,Chevrolet,2020
2020-11-25,2022-11-25,Cerrado,1885314,0,41,M,Comercial,52511243,16,Cali,Toyota,2016
2021-03-29,2021-05-29,Cerrado,2500461,0,69,F,Comercial,68907915,16,Cartagena,Renault,2003
2022-09-19,2023-11-19,Cerrado,879703,0,60,M,Comercial,64983930,14,Cali,Renault,2017
2022-12-25,2023-01-25,Cerrado,2427655,0,37,F,Particular,77545840,17,Cali,Mazda,2009
2022-05-17,2022-07-17,Cerrado,2560927,0,31,M,Particular,55123865,2,Cali,Renault,2016
2020-03-06,2020-10-06,Cerrado,2048936,0,21,F,Particular,34369753,9,Barranquilla,Toyota,2005
2020-11-17,2021-02-17,Cerrado,1132066,0,54,M,Particular,32326973,4,Cali,Toyota,2012
2022-07-02,2022-07-02,Cerrado,2105399,0,64,M,Particular,44911810,14,Medellin,Toyota,2011
2021-09-25,2021-12-25,Cerrado,39169543,0,72,F,Particular,56243934,2,Bogota,Mazda,2008
2023-06-05,,Abierto,0,1949993,24,M,Particular,46393365,5,Bogota,Chevrolet,2023
2021-09-16,2021-11-16,Cerrado,2850627,0,25,M,Particular,85606729,7,Cartagena,Mazda,2008
