                BJD  Magnitude  Magnitude_Uncertainty  Data_Quality_Flag  Accepted 
  2447863.36418      6.9105                   0.006                   0          1  
  2447863.37850      6.9321                   0.008                   0          1  
  2447896.32894      6.8962                   0.007                   0          1  
  2447896.34321      6.8971                   0.007                   0          1  
  2447923.51927      6.9676                   0.013                  32          0  
  2447923.53359      6.9098                   0.006                   0          1  
  2447923.71139      6.9125                   0.010                   0          1  
  2447949.46571      6.9076                   0.006                   1          1  
  2447949.48004      6.9040                   0.007                   0          1  
  2447949.55461      6.9020                   0.007                   0          1  
  2447949.56891      6.9024                   0.006                   0          1  
  2447949.64351      6.9036                   0.008                   0          1  
  2447982.35155      6.9745                   0.013                   2          1  
  2447982.42610      6.9161                   0.007                   0          1  
  2447982.44043      6.9091                   0.006                   0          1  
  2447982.51499      6.9091                   0.007                   0          1  
  2447982.52932      6.9089                   0.008                   0          1  
  2448001.97674      6.9098                   0.006                   0          1  
  2448002.06564      6.8996                   0.006                  16          0  
  2448002.07996      6.9212                   0.007                   0          1  
  2448038.93095      6.9073                   0.008                   1          1  
  2448038.94529      6.8933                   0.007                   0          1  
  2448039.01984      6.9173                   0.008                   0          1  
  2448039.03417      6.9024                   0.007                   1          1  
  2448039.12306      6.9081                   0.009                   1          1  
  2448057.05998      6.9197                   0.007                  16          0  
  2448057.07433      6.9154                   0.009                   0          1  
  2448057.14888      6.9134                   0.007                   0          1  
  2448057.16322      6.9166                   0.007                   0          1  
  2448093.47269      6.9070                   0.005                   0          1  
  2448093.48703      6.9035                   0.006                   0          1  
  2448116.85665      6.9127                   0.009                   2          1  
  2448148.20535      6.9084                   0.007                   0          1  
  2448148.21969      6.9081                   0.006                   0          1  
  2448204.73182      6.9020                   0.007                   0          1  
  2448204.80639      6.9010                   0.008                   0          1  
  2448204.82071      6.9138                   0.006                   0          1  
  2448204.89528      6.9064                   0.006                   0          1  
  2448204.90960      6.9055                   0.007                   0          1  
  2448239.02904      6.9137                   0.009                   0          1  
  2448239.10362      6.9174                   0.011                   0          1  
  2448239.11792      6.9135                   0.012                   0          1  
  2448239.19251      6.9204                   0.008                   0          1  
  2448239.20681      6.8806                   0.014                   0          1  
  2448264.71032      6.9084                   0.008                   0          1  
  2448264.78490      6.9101                   0.009                   0          1  
  2448264.79922      6.9089                   0.007                   0          1  
  2448264.87381      6.9142                   0.006                   0          1  
  2448264.88812      6.9066                   0.006                   0          1  
  2448293.67718      6.9054                   0.009                   0          1  
