           BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454216.67018                 -0.00166                              0.00165          1  
  2454216.67069                  0.00221                              0.00166          1  
  2454216.67120                  0.00118                              0.00168          1  
  2454216.67171                  0.00006                              0.00165          1  
  2454216.67222                 -0.00011                              0.00166          1  
  2454216.67272                  0.00382                              0.00165          1  
  2454216.67325                  0.00106                              0.00166          1  
  2454216.67375                 -0.00027                              0.00163          1  
  2454216.67424                  0.00204                              0.00164          1  
  2454216.67474                 -0.00270                              0.00166          1  
  2454216.67527                 -0.00151                              0.00166          1  
  2454216.67579                 -0.00127                              0.00163          1  
  2454216.67631                  0.00233                              0.00165          1  
  2454216.67682                  0.00019                              0.00163          1  
  2454216.67731                  0.00117                              0.00164          1  
  2454216.67780                 -0.00217                              0.00165          1  
  2454216.67832                 -0.00382                              0.00163          1  
  2454216.67883                  0.00004                              0.00165          1  
  2454216.67933                 -0.00230                              0.00165          1  
  2454216.67983                  0.00269                              0.00164          1  
  2454216.68032                 -0.00154                              0.00167          1  
  2454216.68082                 -0.00151                              0.00165          1  
  2454216.68133                 -0.00253                              0.00166          1  
  2454216.68183                  0.00859                              0.00170          1  
  2454216.68233                  0.00555                              0.00171          1  
  2454216.68369                 -0.00207                              0.00166          1  
  2454216.68420                  0.00190                              0.00164          1  
  2454216.68470                 -0.00134                              0.00168          1  
  2454216.68520                 -0.00119                              0.00164          1  
  2454216.68568                  0.00520                              0.00162          1  
  2454216.68619                 -0.00018                              0.00161          1  
  2454216.68670                 -0.00389                              0.00162          1  
  2454216.68720                 -0.00207                              0.00163          1  
  2454216.68771                  0.00040                              0.00161          1  
  2454216.68819                  0.00010                              0.00161          1  
  2454216.68870                  0.00238                              0.00163          1  
  2454216.68921                  0.00131                              0.00162          1  
  2454216.68972                 -0.00115                              0.00160          1  
  2454216.69021                 -0.00064                              0.00161          1  
  2454216.69069                 -0.00134                              0.00163          1  
  2454216.69123                  0.00487                              0.00162          1  
  2454216.69171                  0.00208                              0.00163          1  
  2454216.69223                 -0.00518                              0.00161          1  
  2454216.69274                 -0.00312                              0.00163          1  
  2454216.69324                  0.00228                              0.00163          1  
  2454216.69376                  0.00144                              0.00161          1  
  2454216.69427                 -0.00259                              0.00163          1  
  2454216.69478                 -0.00165                              0.00163          1  
  2454216.69528                 -0.00013                              0.00161          1  
  2454216.69579                 -0.00409                              0.00162          1  
  2454216.69632                 -0.00516                              0.00162          1  
  2454216.69682                 -0.00345                              0.00161          1  
  2454216.69732                  0.00180                              0.00161          1  
  2454216.69785                 -0.00131                              0.00163          1  
  2454216.69834                 -0.00511                              0.00163          1  
  2454216.69884                  0.00221                              0.00164          1  
  2454216.69935                  0.00355                              0.00161          1  
  2454216.69987                  0.00228                              0.00162          1  
  2454216.70038                 -0.00298                              0.00161          1  
  2454216.70087                 -0.00279                              0.00161          1  
  2454216.70133                  0.00490                              0.00163          1  
  2454216.70184                  0.00444                              0.00162          1  
  2454216.70235                 -0.00334                              0.00162          1  
  2454216.70286                 -0.00243                              0.00161          1  
  2454216.70338                 -0.00205                              0.00160          1  
  2454216.70389                  0.00375                              0.00160          1  
  2454216.70438                 -0.00087                              0.00162          1  
  2454216.70488                 -0.00447                              0.00161          1  
  2454216.70538                 -0.00281                              0.00164          1  
  2454216.70588                 -0.00289                              0.00164          1  
  2454216.70636                  0.00100                              0.00164          1  
  2454216.70691                 -0.00067                              0.00171          1  
  2454216.70741                  0.00141                              0.00171          1  
  2454216.70791                  0.00675                              0.00164          1  
  2454216.70840                  0.00034                              0.00162          1  
  2454216.70892                 -0.00149                              0.00164          1  
  2454216.70942                 -0.00204                              0.00163          1  
  2454216.70994                 -0.00510                              0.00164          1  
  2454216.71041                  0.00493                              0.00165          1  
  2454216.71096                  0.00081                              0.00163          1  
  2454216.71146                  0.00274                              0.00164          1  
  2454216.71197                  0.00249                              0.00164          1  
  2454216.71249                  0.00193                              0.00164          1  
  2454216.71300                  0.00116                              0.00164          1  
  2454216.71349                  0.00173                              0.00165          1  
  2454216.71401                 -0.00132                              0.00163          1  
  2454216.71452                  0.00168                              0.00160          1  
  2454216.71501                 -0.00368                              0.00162          1  
  2454216.71552                  0.00211                              0.00163          1  
  2454216.71602                 -0.00024                              0.00162          1  
  2454216.71653                 -0.00378                              0.00162          1  
  2454216.71702                 -0.00152                              0.00162          1  
  2454216.71756                 -0.00150                              0.00162          1  
  2454216.71808                  0.00080                              0.00160          1  
  2454216.71857                  0.00708                              0.00162          1  
  2454216.71908                  0.00540                              0.00165          1  
  2454216.71957                 -0.00055                              0.00162          1  
  2454216.72008                 -0.00057                              0.00163          1  
  2454216.72059                  0.00618                              0.00163          1  
  2454216.72110                 -0.00177                              0.00163          1  
  2454216.72163                 -0.00210                              0.00161          1  
  2454216.72213                 -0.00184                              0.00159          1  
  2454216.72264                 -0.00168                              0.00162          1  
  2454216.72315                 -0.00367                              0.00161          1  
  2454216.72365                 -0.00137                              0.00160          1  
  2454216.72416                 -0.00572                              0.00161          1  
  2454216.72468                  0.00019                              0.00162          1  
  2454216.72521                 -0.00084                              0.00161          1  
  2454216.72573                  0.00306                              0.00160          1  
  2454216.72624                  0.00213                              0.00163          1  
  2454216.72673                  0.00369                              0.00162          1  
  2454216.72723                  0.00039                              0.00161          1  
