          BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454897.84563                  0.00425                              0.00241          1  
  2454897.84649                 -0.00793                              0.00237          1  
  2454897.84736                  0.00242                              0.00237          1  
  2454897.84821                  0.00370                              0.00262          1  
  2454897.84907                  0.00422                              0.00288          1  
  2454897.84993                 -0.00891                              0.00352          1  
  2454897.85164                 -0.00134                              0.00344          1  
  2454897.85247                  0.01037                              0.00300          1  
  2454897.85332                 -0.00007                              0.00271          1  
  2454897.85417                 -0.00956                              0.00229          1  
  2454897.85504                  0.00008                              0.00221          1  
  2454897.85590                  0.00140                              0.00227          1  
  2454897.85674                 -0.00637                              0.00226          1  
  2454897.85761                  0.00382                              0.00222          1  
  2454897.85847                 -0.00390                              0.00252          1  
  2454897.85929                  0.00417                              0.00236          1  
  2454897.86017                  0.00663                              0.00223          1  
  2454897.86101                 -0.01024                              0.00223          1  
  2454897.86188                  0.00732                              0.00245          1  
  2454897.86274                 -0.00771                              0.00228          1  
  2454897.86358                  0.00906                              0.00285          1  
  2454897.86445                 -0.00690                              0.00323          1  
  2454897.86530                 -0.00136                              0.00285          1  
  2454897.86616                  0.00860                              0.00292          1  
  2454897.86888                  0.02959                              0.00559          1  
  2454897.86974                  0.00869                              0.00386          1  
  2454897.87061                 -0.00099                              0.00417          1  
  2454897.87230                  0.00795                              0.00443          1  
  2454897.87315                 -0.00736                              0.00393          1  
  2454897.87400                 -0.00205                              0.00333          1  
  2454897.87486                  0.01934                              0.00319          1  
  2454897.87570                  0.00385                              0.00287          1  
  2454897.87655                 -0.00067                              0.00337          1  
  2454897.87740                 -0.01201                              0.00321          1  
  2454897.87826                 -0.01550                              0.00325          1  
  2454897.87913                 -0.00323                              0.00326          1  
  2454897.87997                  0.00543                              0.00281          1  
  2454897.88082                  0.01049                              0.00338          1  
  2454897.88166                  0.00749                              0.00469          1  
  2454897.88251                  0.00248                              0.00520          1  
  2454897.88335                  0.01147                              0.00362          1  
  2454897.88422                  0.00115                              0.00392          1  
  2454897.88507                  0.00260                              0.00329          1  
  2454897.88591                  0.00671                              0.00238          1  
  2454897.88677                 -0.00355                              0.00230          1  
  2454897.88763                  0.00659                              0.00224          1  
  2454897.88857                  0.00043                              0.00215          1  
  2454897.88943                  0.00109                              0.00221          1  
  2454897.89029                  0.00182                              0.00223          1  
  2454897.89113                 -0.00159                              0.00217          1  
  2454897.89199                  0.00439                              0.00218          1  
  2454897.89284                 -0.00476                              0.00215          1  
  2454897.89369                 -0.00247                              0.00212          1  
  2454897.89454                 -0.00818                              0.00211          1  
  2454897.89540                 -0.00034                              0.00215          1  
  2454897.89627                 -0.00208                              0.00216          1  
  2454897.89711                 -0.00197                              0.00210          1  
  2454897.89797                  0.00037                              0.00213          1  
  2454897.89883                  0.00502                              0.00219          1  
  2454897.89968                  0.00087                              0.00215          1  
  2454897.90053                  0.00885                              0.00220          1  
