               BJD  Normalized_Flux  Accepted 
  2454438.326586          1.018568          1  
  2454438.326839          1.006845          1  
  2454438.327046          0.993464          1  
  2454438.327307          1.001505          1  
  2454438.327556          1.004317          1  
  2454438.327827          0.990119          1  
  2454438.328093          1.008134          1  
  2454438.328359          0.990678          1  
  2454438.328624          0.991361          1  
  2454438.328891          1.003081          1  
  2454438.329155          0.995747          1  
  2454438.329421          0.990874          1  
  2454438.329686          1.008556          1  
  2454438.329952          0.987210          1  
  2454438.330221          1.003941          1  
  2454438.330489          1.000323          1  
  2454438.330757          0.999693          1  
  2454438.331025          0.992131          1  
  2454438.331293          0.996764          1  
  2454438.331564          1.002072          1  
  2454438.331831          0.987952          1  
  2454438.332095          1.006795          1  
  2454438.332358          0.995083          1  
  2454438.332630          0.988544          1  
  2454438.332895          1.000486          1  
  2454438.333165          1.004612          1  
  2454438.333436          1.001776          1  
  2454438.333698          0.994867          1  
  2454438.333965          0.994659          1  
  2454438.334235          1.004509          1  
  2454438.334498          0.980955          1  
  2454438.334772          1.000286          1  
  2454438.335047          1.005329          1  
  2454438.335328          1.012385          1  
  2454438.335611          1.003222          1  
  2454438.335889          0.982579          1  
  2454438.336155          1.012925          1  
  2454438.336426          0.990598          1  
  2454438.336650          1.001998          1  
  2454438.336926          1.008085          1  
  2454438.337202          1.010491          1  
  2454438.337467          1.001915          1  
  2454438.337732          1.005912          1  
  2454438.337994          0.983380          1  
  2454438.338259          1.003021          1  
  2454438.338489          0.999704          1  
  2454438.338691          1.001925          1  
  2454438.338891          0.992468          1  
  2454438.339092          0.986598          1  
  2454438.339293          0.984266          1  
  2454438.339494          1.004955          1  
  2454438.339695          1.003662          1  
  2454438.339896          1.003782          1  
  2454438.340097          0.993298          1  
  2454438.340298          1.004423          1  
  2454438.340499          1.002551          1  
  2454438.340701          0.994785          1  
  2454438.340901          0.992616          1  
  2454438.341102          0.983155          1  
  2454438.341303          1.005307          1  
  2454438.341504          0.998464          1  
  2454438.341705          0.989527          1  
  2454438.341905          1.000293          1  
  2454438.342107          0.998658          1  
  2454438.342307          1.023356          1  
  2454438.342508          1.002258          1  
  2454438.342709          0.985298          1  
  2454438.342909          1.011583          1  
  2454438.343109          1.001039          1  
  2454438.343309          0.992679          1  
  2454438.343510          0.993741          1  
  2454438.343711          0.974882          1  
  2454438.343911          0.974637          1  
  2454438.344112          1.003752          1  
  2454438.344314          1.005682          1  
  2454438.344515          1.004751          1  
  2454438.344716          0.991939          1  
  2454438.344918          1.005831          1  
  2454438.345118          0.995034          1  
  2454438.345328          1.017508          1  
  2454438.345533          1.002640          1  
  2454438.345735          1.019891          1  
  2454438.345935          1.006386          1  
  2454438.346138          1.006639          1  
  2454438.346338          1.006557          1  
  2454438.346539          1.019950          1  
  2454438.346740          0.999534          1  
  2454438.346941          1.001346          1  
  2454438.347141          1.010091          1  
  2454438.347343          0.999479          1  
  2454438.347543          0.999514          1  
  2454438.347745          1.015623          1  
  2454438.347946          0.973474          1  
  2454438.348187          1.007175          1  
  2454438.348450          0.999915          1  
  2454438.348712          1.008470          1  
  2454438.348978          0.985392          1  
  2454438.349244          0.997605          1  
  2454438.349509          0.989609          1  
  2454438.349775          0.995170          1  
  2454438.350046          0.998234          1  
  2454438.350309          0.988392          1  
  2454438.350579          1.011521          1  
  2454438.350843          1.011924          1  
  2454438.351109          0.996736          1  
  2454438.351375          0.990303          1  
  2454438.351638          1.022533          1  
  2454438.351906          0.993772          1  
  2454438.352168          1.004604          1  
  2454438.352424          0.995793          1  
  2454438.352690          1.000352          1  
