ID,AR [hms],DEC [dms],mu-ra*cos(dec) [mas/yr],mu-dec [mas/yr],plx [mas],radvel [km/s]
* tau Cyg,21 14 47.493,+38 02 43.144,196.99,410.28,49.16,-20.9
* sig Cyg,21 17 24.952,+39 23 40.853,-0.13,-3.58,1.13,-5.3
* 6 Lac,22 30 29.26,+43 07 24.156,-1.98,-5.36,1.9,-8.7
* 11 Lac,22 40 30.859,+44 16 34.704,93.83,10.71,9.8,-11.53
* psi And,23 46 2.047,+46 25 12.986,8.446,-7.143,1.6352,-23.163
* lam And,23 37 33.843,+46 27 29.345,159.606,-421.822,38.5736,6.84
* pi. Cas,00 43 28.07,+47 01 28.365,-24.57,-36.886,18.6293,12.9
* ksi And,01 22 20.42,+45 31 43.596,31.681,9.024,14.6042,-12.97
* ome And,01 27 39.381,+45 24 24.065,357.564,-110.039,34.7332,12.4
HD 10307,01 41 47.127,+42 36 48.222,824.761,-156.423,68.0244,3.33
* gam01 And,02 03 53.952,+42 19 47.022,42.32,-49.3,8.3,-11.5
* 2 Lac,22 21 1.547,+46 32 11.646,22.35,1.45,5.88,-9.5
* 5 Lac,22 29 31.823,+47 42 24.793,-0.37,-3.33,1.98,-12.93
* 7 And,23 12 33.004,+49 24 22.346,89.939,95.704,40.294,11.03
* 8 And,23 17 44.647,+49 00 55.083,33.779,6.213,5.6963,-8.05
* omi Cas,00 44 43.519,+48 17 3.714,18.84,-7.18,4.64,-16.9
* phi And,01 09 30.126,+47 14 30.459,4.05,-12.43,4.55,-2.2
* b And,02 13 13.322,+44 13 53.928,-20.9,-14.46,5.2634,-48.0
* 12 Per,02 42 14.915,+40 11 38.222,-18.669,-186.19,41.7962,-23.04
* pi. Per,02 58 45.67,+39 39 45.816,25.048,-41.522,10.4437,14.2
* rho Per,03 05 10.594,+38 50 24.994,129.22,-105.7,10.6,30.81
* nu. Cyg,20 57 10.419,+41 10 1.699,9.64,-22.75,8.71,-27.6
* ksi Cyg,21 04 55.862,+43 55 40.264,7.97,0.06,3.87,-19.1
* rho Cyg,21 33 58.853,+45 35 30.62,-24.341,-93.511,25.9359,6.88
* alf Lac,22 31 17.501,+50 16 56.968,137.51,17.01,31.79,-4.5
* 4 Lac,22 24 30.991,+49 28 35.011,-5.274,-3.303,1.2656,-26.0
* 9 Lac,22 37 22.417,+51 32 42.438,-51.83,-103.8,19.0,10.1
V* V424 Lac,22 56 25.998,+49 44 0.759,-0.649,-2.768,1.4018,-10.37
V* R Cas,23 58 24.868,+51 23 19.713,82.847,17.485,5.7423,-22.94
* nu. Cas,00 48 50.021,+50 58 5.394,29.453,-8.152,9.1537,9.0
* ksi Cas,00 42 3.892,+50 30 45.12,16.126,-6.05,2.9022,-10.0
* ups Per,01 37 59.557,+48 37 41.57,61.95,-112.15,18.41,16.264
* ome Per,03 11 17.382,+39 36 41.701,-26.26,5.4,11.32,6.87
* bet Per,03 08 10.132,+40 57 20.328,2.99,-1.66,36.27,4.0
* gam Cyg,20 22 13.702,+40 15 24.045,2.39,-0.91,1.78,-5.906
* 57 Cyg,20 53 14.755,+44 23 14.141,11.94,-2.08,6.21,-19.5
* pi.02 Cyg,21 46 47.608,+49 18 34.451,2.77,-2.0,2.95,-12.3
* bet Lac,22 23 33.624,+52 13 44.565,-13.25,-186.77,19.19,-11.42
* zet Cas,00 36 58.284,+53 53 48.867,17.38,-9.86,5.5,-0.2
* 65 And,02 25 37.423,+50 16 43.063,24.289,-14.483,7.6317,-4.93
* kap Per,03 09 29.804,+44 51 26.85,165.691,-138.559,28.7314,29.4
* l Per,03 21 26.559,+43 19 46.743,-61.008,-0.964,20.9522,-9.0
* alf Cyg,20 41 25.915,+45 16 49.22,2.01,1.85,2.31,-4.9
* 55 Cyg,20 48 56.292,+46 06 50.884,-2.233,-2.516,0.5435,-7.2
* f02 Cyg,21 06 36.094,+47 38 54.249,6.53,-1.41,3.16,-26.32
* f01 Cyg,20 59 49.554,+47 31 15.364,7.857,4.065,1.4681,1.4
* pi.01 Cyg,21 42 5.665,+51 11 22.642,5.29,-1.78,1.89,-8.2
V* AR Cas,23 30 1.941,+58 32 56.112,17.957,4.441,4.8857,-15.9
* tau Cas,23 47 3.454,+58 39 7.168,60.379,56.828,18.7789,-20.48
* rho Cas,23 54 23.033,+57 29 57.775,-4.699,-3.112,0.947,-54.3
* alf Cas,00 40 30.441,+56 32 14.392,50.88,-32.13,14.29,-4.204
* eta Cas,00 49 6.295,+57 48 54.638,1078.609,-551.133,168.8322,8.404
* tet Cas,01 11 6.162,+55 08 59.647,226.77,-18.75,24.42,2.5
* tet Per,02 44 11.987,+49 13 42.415,334.708,-89.251,89.685,24.394
* nu. Per,03 45 11.632,+42 34 42.783,-14.45,2.53,5.86,-12.1
* zet Cep,22 10 51.277,+58 12 4.546,13.52,5.24,3.9,-17.83
* del Cep,22 29 10.263,+58 24 54.698,14.56,3.238,3.5551,-12.33
* 1 Cas,23 06 36.818,+59 25 11.136,6.94,-1.95,2.89,-9.1
