           BJD	 Magnitude  Magnitude_Uncertainty  Data_Quality_Flag  Accepted 
  2447924.16004      9.2404                   0.018                   0          1  
  2447924.17437      9.2525                   0.016                   0          1  
  2447924.24893      9.2577                   0.015                   0          1  
  2447924.26326      9.2213                   0.015                   0          1  
  2447924.33783      9.2290                   0.016                   0          1  
  2447924.35217      9.2647                   0.020                   0          1  
  2447924.42671      9.2442                   0.015                   0          1  
  2447924.44107      9.2478                   0.014                   1          1  
  2447924.60451      9.2077                   0.022                   0          1  
  2447924.61884      9.2249                   0.023                   0          1  
  2447929.33016      9.2247                   0.024                   1          1  
  2447929.50796      9.2376                   0.018                   0          1  
  2447929.58254      9.2404                   0.014                   0          1  
  2447929.59686      9.2343                   0.014                   0          1  
  2447929.67142      9.2499                   0.014                   0          1  
  2447929.68573      9.2351                   0.014                   0          1  
  2447929.76033      9.2162                   0.015                   0          1  
  2447929.77464      9.2455                   0.016                   1          1  
  2447997.39177      9.1609                   0.023                  10          0  
  2447997.46633      9.2288                   0.015                   0          1  
  2447997.48067      9.2415                   0.015                   0          1  
  2447997.55522      9.2257                   0.015                   0          1  
  2447997.56957      9.2582                   0.017                   0          1  
  2447997.64414      9.2289                   0.014                   0          1  
  2447997.65846      9.2377                   0.016                   0          1  
  2448012.14693      9.2414                   0.023                   0          1  
  2448137.07830      9.2520                   0.014                   0          1  
  2448137.09262      9.2702                   0.016                   0          1  
  2448164.45696      9.2632                   0.015                   0          1  
  2448164.53154      9.2339                   0.018                   0          1  
  2448164.54584      9.2485                   0.015                   0          1  
  2448164.62042      9.2566                   0.019                   0          1  
  2448164.63472      9.1812                   0.015                   0          1  
  2448184.52431      9.2399                   0.015                   0          1  
  2448184.53862      9.2620                   0.015                   0          1  
  2448184.61320      9.2715                   0.019                   0          1  
  2448184.62749      9.2489                   0.017                   1          1  
  2448184.70208      9.2689                   0.015                   1          1  
  2448312.60524      9.2408                   0.015                   0          1  
  2448312.61955      9.2738                   0.028                   0          1  
  2448335.26634      9.2534                   0.019                   0          1  
  2448335.28067      9.2778                   0.017                   0          1  
  2448335.35524      9.2480                   0.025                   0          1  
  2448335.36957      9.2489                   0.015                   0          1  
  2448335.44414      9.2243                   0.020                   0          1  
  2448335.45845      9.2599                   0.014                   0          1  
  2448359.70488      9.2308                   0.014                   0          1  
  2448359.71920      9.2494                   0.015                   0          1  
  2448359.79375      9.2649                   0.017                   0          1  
  2448359.80809      9.2644                   0.016                   0          1  
  2448359.88264      9.2560                   0.014                   0          1  
  2448483.52055      9.2679                   0.018                   0          1  
  2448483.59514      9.2428                   0.015                   0          1  
  2448483.68400      9.2728                   0.016                   0          1  
  2448502.70089      9.2718                   0.020                   0          1  
  2448502.71523      9.2720                   0.016                   0          1  
  2448502.78978      9.2339                   0.018                   8          0  
  2448502.80413      9.1877                   0.019                   2          1  
  2448660.93058      9.2547                   0.019                   0          1  
  2448660.94493      9.2357                   0.016                   0          1  
  2448661.03380      9.2657                   0.014                   0          1  
  2448661.10838      9.2513                   0.014                   0          1  
  2448661.12270      9.2413                   0.016                   0          1  
  2448674.44086      9.2413                   0.026                   0          1  
  2448674.45519      9.2398                   0.021                   0          1  
  2448674.52977      9.2427                   0.017                   2          1  
  2448705.90907      9.2592                   0.018                   0          1  
  2448705.98367      9.2509                   0.016                   0          1  
  2448705.99799      9.2635                   0.016                   0          1  
